#Distance (ops)	Merge time (ms)	Computation (ms)	Network (ms)
0		1390	0		1390
2		1996	6		1990
4		2023	6		2017
8		2316	60	2256
16	2531	133	2398
32	3503	232	3271
64	4432	334	4098
128	5183	650	4533
256	5987	831	5156
